"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.187,0.791,113.684,0.476,"0",0.416,"11",0.218,-10.55,"0",1,2021-01-12,0.0718,95.07,0.885,"2021","Winter",0,1
0.941,0.662,184.987,0.401,"0",0.905,"7",0.288,-13.296,"1",35,2021-01-08,0.0388,117.287,0.669,"2021","Winter",0,35
0.0557,0.806,320.016,0.674,"0",0.791,"3",0.706,-7.547,"0",0,2021-01-15,0.0499,122.996,0.316,"2021","Winter",0,0
0.891,0.4,113.933,0.547,"0",0.63,"0",0.0663,-12.044,"1",33,2021-01-08,0.0467,166.178,0.857,"2021","Winter",0,33
0.0279,0.442,174.733,0.604,"0",0,"2",0.16,-11.696,"1",0,2021-01-21,0.449,187.877,0.403,"2021","Winter",0,0
0.936,0.316,670.947,0.108,"0",0.859,"0",0.0785,-18.232,"1",33,2021-01-08,0.0375,101.673,0.188,"2021","Winter",0,33
0.812,0.623,142.519,0.384,"0",0.898,"0",0.107,-21.408,"1",0,2021-01-16,0.0369,129.968,0.272,"2021","Winter",0,0
0.947,0.233,641.453,0.131,"0",0.928,"2",0.0903,-15.626,"1",32,2021-01-08,0.0411,149.727,0.1,"2021","Winter",0,32
0.125,0.832,115.204,0.687,"0",0.000238,"1",0.0781,-6.775,"1",0,2021-01-22,0.0779,175.082,0.322,"2021","Winter",0,0
0.942,0.5,184.413,0.339,"0",0.914,"7",0.111,-16.881,"0",32,2021-01-08,0.0497,81.163,0.272,"2021","Winter",0,32
0.309,0.575,230.69,0.963,"0",0,"10",0.224,-2.216,"0",0,2021-01-18,0.0918,139.874,0.921,"2021","Winter",0,0
0.952,0.293,460.707,0.161,"0",0.926,"5",0.0477,-16.573,"1",33,2021-01-08,0.0324,97.923,0.209,"2021","Winter",0,33
0.739,0.559,122.92,0.336,"0",0.248,"11",0.115,-16.448,"1",33,2021-01-08,0.0457,79.348,0.645,"2021","Winter",0,33
0.94,0.642,193.307,0.391,"0",0.943,"9",0.0696,-13.798,"1",31,2021-01-08,0.0324,101.38,0.711,"2021","Winter",0,31
0.974,0.219,459.053,0.0855,"0",0.922,"0",0.355,-19.703,"0",34,2021-01-08,0.0404,171.849,0.156,"2021","Winter",0,34
0.974,0.219,459.053,0.0855,"0",0.922,"0",0.355,-19.703,"0",34,2021-01-08,0.0404,171.849,0.156,"2021","Winter",0,34
0.973,0.19,783.96,0.06,"0",0.875,"0",0.154,-18.481,"1",32,2021-01-08,0.0371,179.934,0.0747,"2021","Winter",0,32
0.961,0.503,251.907,0.147,"0",0.473,"11",0.0852,-20.073,"1",30,2021-01-08,0.0545,89.08,0.447,"2021","Winter",0,30
0.901,0.391,135.413,0.45,"0",0.379,"5",0.0793,-14.744,"1",30,2021-01-08,0.0587,170.232,0.609,"2021","Winter",0,30
0.873,0.386,142.32,0.602,"0",0.919,"11",0.0744,-13.88,"1",30,2021-01-08,0.0658,167.765,0.406,"2021","Winter",0,30
0.984,0.699,141.642,0.00961,"0",0.917,"10",0.115,-21.891,"0",10,2021-01-09,0.453,79.526,0.0403,"2021","Winter",0,10
0.988,0.704,109.412,0.0317,"0",0.96,"3",0.1,-20.579,"1",1,2021-01-08,0.0874,81.721,0.0658,"2021","Winter",0,1
0.985,0.604,133.004,0.0123,"0",0.86,"0",0.118,-20.627,"1",3,2021-01-09,0.293,81.677,0.129,"2021","Winter",0,3
0.992,0.805,121.858,0.0242,"0",0.938,"5",0.1,-20.129,"1",3,2021-01-09,0.0602,101.641,0.0878,"2021","Winter",0,3
0.000773,0.85,340.328,0.56,"0",0.0315,"0",0.209,-3.775,"1",0,2021-01-15,0.0481,122.003,0.747,"2021","Winter",0,0
0.00158,0.761,327.097,0.86,"0",0.591,"5",0.0613,-4.337,"0",0,2021-01-15,0.0757,123.98,0.818,"2021","Winter",0,0
0.00228,0.803,342.581,0.819,"0",0.00155,"3",0.0865,-3.89,"0",0,2021-01-15,0.0722,123.984,0.33,"2021","Winter",0,0
0.984,0.588,114.985,0.0223,"0",0.949,"4",0.108,-21.118,"0",4,2021-01-09,0.309,77.833,0.0377,"2021","Winter",0,4
0.991,0.669,141.642,0.0109,"0",0.95,"3",0.106,-20.753,"1",2,2021-01-09,0.228,105.961,0.0391,"2021","Winter",0,2
0.112,0.851,238.907,0.818,"0",2.94e-06,"4",0.0945,-4.637,"1",36,2020-10-23,0.0789,119.006,0.808,"2020","Fall",0,36
0.98,0.639,120.001,0.0395,"0",0.886,"0",0.0836,-20.148,"1",3,2021-01-09,0.111,144.006,0.175,"2021","Winter",0,3
0.00135,0.862,300.952,0.655,"0",0.369,"10",0.0696,-5.056,"1",0,2021-01-15,0.11,125.996,0.764,"2021","Winter",0,0
0.979,0.9,148.979,0.0222,"0",0.929,"8",0.124,-20.163,"1",5,2021-01-09,0.135,115.906,0.079,"2021","Winter",0,5
0.986,0.608,148.979,0.0132,"0",0.932,"5",0.111,-20.44,"1",5,2021-01-09,0.187,86.355,0.0371,"2021","Winter",0,5
0.0464,0.733,284.863,0.943,"0",0.0705,"5",0.12,-3.981,"0",0,2021-01-15,0.0807,123.004,0.927,"2021","Winter",0,0
0.985,0.727,108.855,0.0308,"0",0.807,"8",0.109,-19.569,"1",8,2021-01-09,0.0652,74.959,0.132,"2021","Winter",0,8
0.99,0.713,108.019,0.0293,"0",0.946,"8",0.112,-20.064,"1",6,2021-01-08,0.0977,80.004,0.126,"2021","Winter",0,6
